0	3	6	
0	0	8	
14	3	0	
1	0	7	
14	3	0	
24	0	0	
18	2	0	
24	0	0	
4	1	4	
14	3	0	
1	2	6	
4	1	4	
14	3	0	
18	0	1	
20	1	0	
14	1	1	
24	0	0	
12	0	2	
6	1	3	
1	0	7	
3	0	5	
1	2	6	
12	2	1	
2	0	6	
1	3	5	
8	0	3	
5	0	4	
9	1	2	
18	0	1	
0	0	8	
5	0	4	
14	1	1	
0	1	7	
8	2	2	
18	2	0	
8	2	2	
12	0	2	
6	3	2	
20	1	0	
3	0	5	
3	0	5	
2	0	6	
8	2	2	
5	0	4	
5	0	4	
4	1	4	
9	1	2	
0	0	8	
1	0	7	
4	1	4	
2	1	5	
1	0	7	
6	3	2	
2	0	6	
0	0	8	
0	1	7	
6	1	3	
1	0	7	
14	1	1	
9	1	2	
12	2	1	
6	1	3	
20	1	0	
14	1	1	
18	0	1	
3	0	5	
4	3	3	
8	0	3	
1	0	7	
6	3	2	
2	1	5	
6	1	3	
8	2	2	
12	0	2	
3	2	4	
2	3	4	
9	1	2	
5	0	4	
6	1	3	
14	3	0	
24	0	0	
24	0	0	
18	2	0	
2	0	6	
14	3	0	
24	0	0	
4	1	4	
18	0	1	
0	3	6	
6	1	3	
14	1	1	
12	2	1	
18	0	1	
9	3	1	
14	3	0	
3	0	5	
14	1	1	
8	2	2	
24	0	0	
14	1	1	
24	0	0	
14	3	0	
2	1	5	
24	0	0	
